insect_order;insect_family;insect_species;species_authors;species_authors_galls;sampling_year;host_plant_adjusted_scientific_name;host_plant_paper_original_scientific_name;host_plant_family;site_states;site_municipality;study_location;vegetation_type;complete_references;additional_references
Diptera;Cecidomyiidae;Clinodiplosis conica Oliveira & Maia et al., 2008;Oliveira & Maia et al., 2008;Maia;1998;Microstachys corniculata (Vahl) Griseb. ;Sebastiania glandulosa (Mart.) Pax.;Euphorbiaceae;Rio de Janeiro;Maricá, Carapebus, Arraial do Cabo;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1106";Maia, V.C. 2001. The gall midges (Diptera, Cecidomyiidae) from three restingas of Rio de Janeiro State, Brazil. Revista Brasileira de Zoologia 18 (Suppl. 2): 583-629.
Diptera;Cecidomyiidae;Schizomyia spherica Maia & Oliveira, 2007;Maia & Oliveira, 2007;"Maia; Carvalho-Fernandes et al.";"1998; 2011-2012";Microstachys corniculata (Vahl) Griseb.;Sebastiania glandulosa (Mart.) Pax.;Euphorbiaceae;"Rio de Janeiro; Minas Gerais";Maricá, Carapebus, Araruama, Arraial do Cabo, Cabo Frio, Saquarema;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1236";Carvalho-Fernandes, S.P., Ascendino, S., Maia, V.C. and Couri, M.S. 2016. Diversity of insect galls associated with coastal shrub vegetation in Rio de Janeiro, Brazil. An. Acad. Bras. Cienc. 88(3):1407-1418.Maia, V.C. 2001b. The gall midges (Diptera, Cecidomyiidae) from three restingas of Rio de Janeiro State, Brazil. Revista Brasileira de Zoologia 18 (Suppl. 2): 583-629.
Diptera;Cecidomyiidae;Asphondylia sennae Maia & Couri, 1992;Maia & Couri, 1992;Maia;1988-1990;Senna bicapsularis (L.) Roxb.;Senna bicapsularis (L.) Roxb.;Fabaceae;Rio de Janeiro;Maricá;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1065";NE
Diptera;Cecidomyiidae;Bruggmanniella sideroxyli Rodrigues & Maia, 2020;Rodrigues & Maia, 2020;Rodrigues;2010;Sideroxylon obtusifolium (Roem. and Schult.) T. D. Penn.;Sideroxylon obtusifolium (Roem. and Schult.) T. D. Penn.;Sapotaceae;Rio de Janeiro;Mangaratiba;;Atlantic Forest, Amazon Forest, Cerrado, Pantanal;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1095";NE
Diptera;Cecidomyiidae;Alycaulus hexadentatus Urso-Guimarães, 2018;Urso-Guimarães, 2018;Ribeiro et al.;2000-2002;Smilax oblongifolia Pohl ex Griseb. ;Smilax oblongifolis Pohl ex Griseb. ;Smilacaceae;São Paulo;Altinópolis;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1040";Ribeiro, A. N., M. I. P. A. Balbi, and M. V. Urso-Guimarães. 2019. Characterization of insect galls from natural vegetation area in Altinópolis, São Paulo State, Brazil. Papéis Avulsos de Zoologia 59: e20195904.
Diptera;Cecidomyiidae;Smilasioptera candelariae Möhn, 1975;Möhn, 1975;"Möhn, Maia, Carvalho-Fernandes et al.; Maia & Silva";"1956, 1998, 2002-2005; 2011-2012";Smilax rufescens Griseb. ;Smilax rufescens Griseb. ;Smilacaceae;Rio de Janeiro;Araruama, Arraial do Cabo, Cabo Frio, Carapebus, Grumari, Mangaratiba, Maricá, Rio de Janeiro, Saquarema, São João da Barra;;Atlantic Forest, Amazon Forest, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1237";"Maia & Silva, 2016; Melo-Júnior, J.C.F., Isaias R.M.S., Boeger, M.R.T., Arriola, I.A. & Matilde-Silva, M. 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7:eb2018003. Maia 2005; Maia, V.C. 2001b. The gall midges (Diptera, Cecidomyiidae) from three restingas of Rio de Janeiro State, Brazil. Revista Brasileira de Zoologia 18 (Suppl. 2): 583-629."
Diptera;Cecidomyiidae;Asphondylia stachytarpheta Barnes, 1932;Barnes, 1932;Maia ;2012;Stachytarpheta cayennensis (Rich.) Vahl.;Stachytarpheta cayennensis (Rich.) Vahl.;Verbenaceae;Rio de Janeiro;Mangaratiba;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado, Pampa, Pantanal;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1067";"Rodrigues, A.R., Maia, V.C. & Couri, M.S. 2014. Insect galls of restinga areas of Ilha da Marambaia, Rio de Janeiro, Brazil. Rev. Bras. Entomol. 58(2):173-197; Barnes, H.F. 1932. Notes on Cecidomyidae. Annals and Magazine of Natural History (10) 9:
475–484."
Diptera;Cecidomyiidae;Bruggmanniella maricensis (Maia & Couri, 1992);Maia & Couri, 1992;Maia;1992, 1998;Struthanthus taubatensis Eichler ;Struthanthus maricensis Rizzini ex Profice;Loranthaceae;Rio de Janeiro;Maricá;;Atlantic Forest, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1090";"Maia, V.C. 2024. Gall-inducing insects from the Maricá Environmental Protection Area (RJ, Southeastern Brazil). Revista Brasileira de Entomologia 68(2):e20230086; Goetz, A.P.M., Luz, F.A., Toma, T.S.P. & Mendonça-Júnior, M. 2018. Gall-inducing insects of deciduous and semideciduous forests in Rio Grande do Sul State, Brazil. Iheringia, Ser. Zool. e-ISSN 1678-4766.; Maia, V.C. & Mascarenhas, B. 2017. Insect galls of the Parque Nacional do Itatiaia (Southeast Region, Brazil). An. Acad. Bras. Cienc. 89(1 Suppl.):505-575; Möhn, E. 1973. Studien über neotropische Gallmücken (Diptera, Itonididae). 2. Teil. Stuttgarter Beiträge zur Naturkunde No. 257: 1–9."
Diptera;Cecidomyiidae;Asphondylia struthanthi (Rübsaamen, 1915);Rübsaamen, 1915;Ule;1910;Struthanthus sp.;Struthanthus sp.;Loranthaceae;São Paulo;Bertioga;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1068";Rübsaamen, E.H. 1915. Beitrag zur Kenntnis aussereuropäischer Gallmucken. Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin 1915:431-481.
Diptera;Cecidomyiidae;Contodiplosis friburgensis (Tavares, 1915);Tavares, 1915;Tavares;1911;Styrax sp. ;Styrax sp. ;Styracaceae;Rio de Janeiro;Nova Friburgo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1122";Tavares, J.S. 1915b. As cecídias das plantas do género Styrax no Brazil. Brotéria, Série Zoológica 13: 145–160, pl. VI.
Diptera;Cecidomyiidae;Contodiplosis humilis (Tavares, 1915);Tavares, 1915;Tavares;1911;Styrax sp. ;Styrax sp. ;Styracaceae;Rio de Janeiro;Nova Friburgo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1123";Tavares, J.S. 1915b. As cecídias das plantas do género Styrax no Brazil. Brotéria, Série Zoológica 13: 145–160, pl. VI.
Diptera;Cecidomyiidae;Contodiplosis tristis (Tavares, 1915);Tavares, 1915;Tavares;1911;Styrax sp. ;Styrax sp. ;Styracaceae;Rio de Janeiro;Nova Friburgo;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1124";Tavares, J.S. 1915b. As cecídias das plantas do género Styrax no Brazil. Brotéria, Série Zoológica 13: 145–160, pl. VI.
Diptera;Cecidomyiidae;Styraxdiplosis caetitensis Tavares, 1915;Tavares, 1915;Tavares;1912;Styrax sp. ;Styrax sp. ;Styracaceae;Bahia;Caetité;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1247";Tavares, J.S. 1915b. As cecídias das plantas do género Styrax no Brazil. Brotéria, Série Zoológica 13: 145–160, pl. VI.
Diptera;Cecidomyiidae;Burseramyia braziliensis Maia & Fonseca, 2012;Maia & Fonseca, 2012;Maia;2004, 2005;Swartzia langsdorffii Raddi;Swartzia langsdorffii Raddi;Fabaceae;São Paulo;Bertioga;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1096";Maia, V.C. and K.F. Fonseca. 2012. Burseramyia braziliensis, a new species of gall midge (Diptera, Cecidomyiidae, Asphondyliini) associated with Swartzia langsdorffii Raddi (Fabaceae). Biota Neotropica. 11: 55–57.
Diptera;Cecidomyiidae;Schizomyia maricaensis Sousa & Maia, 2007;Sousa & Maia, 2007;"Maia; Urso-Guimarães";"1998; 2000";Tetrapterys phlomoides (Spreng.) Nied.;Tetrapterys phlomoides (Spreng.) Nied.;Malpighiaceae;"Rio de Janeiro; São Paulo";"Maricá; Ribeirão Preto";;Atlantic Forest, Cerrado, Pantanal;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1234";Urso-Guimarães, M.V. 2019. Description of the larva of Lopesia spinosa Maia (Diptera, Cecidomyiidae) and new occurrences of the species. Rev Bras Entomol 63:232-233.
Diptera;Cecidomyiidae;Lopesia tibouchinae Maia, 2004 ;Maia, 2004;Maia;2004;Pleroma candolleanum (Mart. ex DC.) Triana ;Tibouchina candolleana (Mart. ex DC.) Cogn.;Melastomataceae;Rio de Janeiro;Santa Maria Madalena;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1185";NE
Diptera;Cecidomyiidae;Rochadiplosis tibouchinae Tavares, 1917;Tavares, 1917;"Tavares; Ribeiro et al.";"1911 - 1912; 2000-2002";Tibouchina sp. ;Tibouchina sp. ;Melastomataceae;"Rio de Janeiro; São Paulo";"Rio de Janeiro, Petropolis, Tijuca, Nova Friburgo; Altinópolis";;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1231";"Ribeiro et al., 2018; Tavares, J.S. 1917a. Cecídias do brazileiras que se criam em planta das Compositae, Rubiaceae, Tiliaceae, Lythraceae e Artocarpaceae. Brotéria, Ser. Zool. 15:113-181, pls. VI-XI."
Diptera;Cecidomyiidae;itaparicana Tavares, 1922; Tavares, 1922;Tavares;1911-1912;Undetermined;Undetermined;Undetermined;Bahia;Itaparica, Salvador;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1157"; Tavares, J.S. 1922. Cecidologia brazileira: as restantes famílias. Brotéria, Série Zoológica 19 (1): 5–48, pls. XI–XIX.
Diptera;Cecidomyiidae;Neolasioptera fariae (Tavares, 1922);Tavares, 1922;Tavares;1911-1912;Undetermined;Undetermined;Undetermined;Bahia;Salvador;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1203"; Tavares, J.S. 1922. Cecidologia brazileira: as restantes famílias. Brotéria, Série Zoológica 19 (1): 5–48, pls. XI–XIX.
Diptera;Cecidomyiidae;Proasphondylia brasiliensis Felt, 1915;Felt, 1915;NA;1883;Undetermined ;Undetermined ;Undetermined ;Pernambuco;Bonito;;Atlantic Forest;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1222";"Felt, E.P. 1915. New genera and species of gall midges. Proceedings of the United States National
Museum 48: 195–211."
Diptera;Cecidomyiidae;Asphondylia serrata Maia, 2004;Maia, 2004;Maia;2004;Eremanthus erythropappus (DC.) MacLeish;Vanilosmopsis erythropappa (DC.) Sch. Bip.;Asteraceae;Minas Gerais;São Tomé das Letras, Serra do Caparaó, Serra do Ibitipoca;;Atlantic Forest, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1066";Maia, V.C. & Proença, B. 2016. Insect galls on Mikania glomerata (Asteraceae) in an area of Atlantic Forest in Viçosa (Minas Gerais, Brazil). Check List 11: doi.org/10.15560/12.2.2026
Diptera;Cecidomyiidae;Asphondylia varroniae Maia, 2024;Maia, 2024;Maia;1998, 2004-2005;Varronia  curassavica  Jacq.  ;Varronia curassavica;Asteraceae;"Rio de Janeiro; São Paulo";"Carapebus, Maricá; Bertioga";;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;Maia, V.C. 2024. Five new species of Asphondylia (Diptera, Cecidomyiidae, Asphondyliini) from Brazilian restinga (Atlantic Forest). Pap. Avulsos Zool. 64:e202464008.  ;NE
Diptera;Cecidomyiidae;Cordiamyia globosa Maia, 1996;Maia, 1996;"Maia; Bregonci; Carvalho-Fernandes et al; Melo Jr et al (revisão literatura)";"1998; 2006-2007; 2011-2012; 2015-2017";Varronia curassavica Jacq.;Varronia curassavica Jacq.;Boraginaceae;"Rio de Janeiro; Santa Catarina; Espírito Santo";"Maricá; Arraial do Cabo, Cabo Frio, Saquarema, Reserva Biológica União, São João da Barra, São Francisco de Itabapoana; São Francisco do Sul; Conceição da Barra, Itaúnas";;Atlantic Forest, Amazon Forest, Caatinga, Cerrado, Pampa;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1125";Melo-Júnior, J. C. F., Isaias, R. M. S., Boeger, M. R. T., Arriola, I. A., Matilde-Silva, M., 2015. Diversidade de galhadores nas restingas do ecossistema Babitonga, Santa Catarina, Brasil. Rev. CEPSUL 7, eb2018003.
Diptera;Cecidomyiidae;Asphondylia marambaiensis Maia, 2024;Maia, 2024;Rodrigues ;2010;Lantana fucata Lindl.;Lantana fucata Lindl.;Verbenaceae ;"Rio de Janeiro; Espírito Santo; Minas Gerais";"Mangaratiba; Santa Teresa, Serra do Cipó";;"Atlantic Forest; Cerrado";Maia, V.C. 2024. Five new species of Asphondylia(Diptera, Cecidomyiidae, Asphondyliini) from Brazilian restinga (Atlantic Forest). Pap. Avulsos Zool. 64:e202464008.  ;NE
Diptera;Cecidomyiidae;Asphondylia gaucha Maia, 2023;Maia, 2023;Maia, 2023;2007;Vernonanthura discolor (Sprengel) H. Rob;Vernonanthura discolor (Sprengel) H. Rob;Asteraceae;Rio Grande do Sul;São Francisco de Paula;;Atlantic Forest;Maia, V.C., Mendonça, M.S. and Mascarenhas, B.J.A. 2023. Two new species of Asphondylia Loew, 1850 (Diptera, Cecidomyiidaei) on Asteraceae from Brazil. Pap. Avulsos Zool. 63:e202363024. https://doi.org/10.11606/1807-0205/2023.63.024;NE
Diptera;Cecidomyiidae;Asphondylia mineira Maia, 2023;Maia, 2023;Maia, 2023;2021;Vernonanthura polyanthes (Sprengel) Vega & Dematteis;Vernonanthura polyanthes (Sprengel) Vega & Dematteis;Asteraceae;Minas Gerais;Serra do Funil;;Atlantic Forest;Maia, V.C., Mendonça, M.S. and Mascarenhas, B.J.A. 2023. Two new species of Asphondylia Loew, 1850 (Diptera, Cecidomyiidaei) on Asteraceae from Brazil. Pap. Avulsos Zool. 63:e202363024. https://doi.org/10.11606/1807-0205/2023.63.024;NE
Diptera;Cecidomyiidae;Anisodiplosis waltheriae Maia, 2005;Maia, 2005;Fernandes;2004;Waltheria indica L.;Waltheria indica L.;Sterculiaceae;Minas Gerais;Aimorés;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado, Pantanal;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1048";NE
Diptera;Cecidomyiidae;Asphondylia communis Maia & Couri, 1992;Maia & Couri, 1992;Maia, Carvalho-Fernandes et al.;"1992, 1993, 1997; 2011-2012";Ximenia americana L.;Ximenia americana L.;Olacaceae;Rio de Janeiro;Mangaratiba, Maricá, Arraial do Cabo , São João da Barra;;Atlantic Forest, Amazon Forest, Caatinga, Cerrado;"Gagné, R.J. and M. Jaschhof. 2021. A Catalog of the Cecidomyiidae (Diptera) of the World. 5th Edition. Digital. 813 pp.; Maia, V.C. 2021. Cecidomyiidae (Diptera, Insecta): richness of species and distribution in Brazil. Biota Neotrop. 21 (2) https://doi.org/10.1590/1676-0611-BN-2020-1054";Carvalho-Fernandes, S.P., Ascendino, S., Maia, V.C. & Couri, M.S. 2016. Diversity of insect galls associated with coastal shrub vegetation in Rio de Janeiro, Brazil. An. Acad. Bras. Cienc. 88(3):1407-1418.
